Modelo,Brier_mean,Brier_std
CatBoost,0.043312040189717835,0.0003510913555541165
Linear SVM,0.04384038702918582,0.00028902028923680196
Calibrated Random Forest,0.04389359349744057,0.00023594141392723516
Neural Net,0.044009613544612095,0.0005183546778145608
RBF SVM,0.04404951325283393,0.0004298965422824451
Dummy (prior),0.04456236357429193,0.00014142103993065023
Random Forest,0.04461425720860604,0.00038184790482365886
XGBoost,0.04472016828240115,0.00040952652417861426
Nearest Neighbors,0.05095406735103203,0.0010069934406147308
QDA,0.06174671890650172,0.0025659398345382377
Decision Tree,0.09390933632275562,0.002577631583075832
AdaBoost,0.12286537498209565,0.00477657902190909
Logistic Regression,0.22151995210257983,0.003375219401384795
Balanced Random Forest,0.23438853859163605,0.003100055178276547
Naive Bayes,0.9379194811910828,0.0061082226142117535
