Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Dummy (prior),0,0,0,0.9531351001939238,0.0,0.0,0.0,0.5,0.044668602435496876
Dummy (prior),1,0,1,0.953443258971872,0.0,0.0,0.0,0.5,0.04438926787097266
Dummy (prior),2,0,2,0.953443258971872,0.0,0.0,0.0,0.5,0.044389267870972665
Dummy (prior),3,0,3,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),4,0,4,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),5,1,0,0.9531351001939238,0.0,0.0,0.0,0.5,0.044668602435496876
Dummy (prior),6,1,1,0.953443258971872,0.0,0.0,0.0,0.5,0.04438926787097267
Dummy (prior),7,1,2,0.953443258971872,0.0,0.0,0.0,0.5,0.044389267870972665
Dummy (prior),8,1,3,0.9531199482702878,0.0,0.0,0.0,0.5,0.04468233984700872
Dummy (prior),9,1,4,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),10,2,0,0.9531351001939238,0.0,0.0,0.0,0.5,0.04466860243549688
Dummy (prior),11,2,1,0.953443258971872,0.0,0.0,0.0,0.5,0.04438926787097266
Dummy (prior),12,2,2,0.953443258971872,0.0,0.0,0.0,0.5,0.044389267870972665
Dummy (prior),13,2,3,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),14,2,4,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),15,3,0,0.9531351001939238,0.0,0.0,0.0,0.5,0.04466860243549688
Dummy (prior),16,3,1,0.953443258971872,0.0,0.0,0.0,0.5,0.044389267870972665
Dummy (prior),17,3,2,0.953443258971872,0.0,0.0,0.0,0.5,0.044389267870972665
Dummy (prior),18,3,3,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),19,3,4,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Dummy (prior),20,4,0,0.9531351001939238,0.0,0.0,0.0,0.5,0.04466860243549688
Dummy (prior),21,4,1,0.953443258971872,0.0,0.0,0.0,0.5,0.04438926787097266
Dummy (prior),22,4,2,0.953443258971872,0.0,0.0,0.0,0.5,0.044389267870972665
Dummy (prior),23,4,3,0.9531199482702878,0.0,0.0,0.0,0.5,0.04468233984700872
Dummy (prior),24,4,4,0.9531199482702878,0.0,0.0,0.0,0.5,0.044682339847008715
Logistic Regression,0,0,0,0.6460892049127344,0.07740213523131673,0.6,0.13711583924349882,0.6584838811519977,0.22572605194659648
Logistic Regression,1,0,1,0.6585838991270611,0.06981132075471698,0.5138888888888888,0.12292358803986711,0.6353754568403601,0.21666896787307593
Logistic Regression,2,0,2,0.6414484319430973,0.06726457399103139,0.5208333333333334,0.11914217633042097,0.6126653102746694,0.22363733578181766
Logistic Regression,3,0,3,0.6524409957969609,0.07103321033210332,0.5310344827586206,0.12530512611879577,0.6243040284471062,0.22408369700084052
Logistic Regression,4,0,4,0.6663433559650824,0.0835680751173709,0.6137931034482759,0.14710743801652892,0.6887170729424975,0.22026507977390258
Logistic Regression,5,1,0,0.6483516483516484,0.07484220018034266,0.5724137931034483,0.13237639553429026,0.6608528899334666,0.22216423919861605
Logistic Regression,6,1,1,0.648237956676366,0.07857142857142857,0.6111111111111112,0.13924050632911392,0.6694642251610716,0.22253792306735512
Logistic Regression,7,1,2,0.6495311994827029,0.07272727272727272,0.5555555555555556,0.12861736334405144,0.6488451829245319,0.2211875086303401
Logistic Regression,8,1,3,0.6547041707080504,0.06828811973807297,0.503448275862069,0.12026359143327842,0.6258480325644504,0.2218026815310464
