Modelo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,Brier_mean,Brier_std
CatBoost,0.9410579302973895,0.00326116413614565,0.9186970099236543,0.008556657629450336,0.847530487140451,0.010202760324510403,0.8816279020415682,0.006725690288448914,0.961251578520152,0.003591867750884018,0.047646182887350355,0.002085891045926995
Balanced Random Forest,0.9246218173906883,0.0036108312090992046,0.8256019816578187,0.010717903666601658,0.8991529914290427,0.009865998355956402,0.8607288043112236,0.006200376841290575,0.960319528409554,0.0037788346266214787,0.06339170017185417,0.0020596440115043225
Calibrated Random Forest,0.9405018149914595,0.0023871335566377407,0.918429672379249,0.009073721608145856,0.8455331085519658,0.009724093290684641,0.8804004699954661,0.004911159937778814,0.9600755471639482,0.003965339443148322,0.04868677210182554,0.0019104672747381516
Logistic Regression,0.929070263336253,0.00458320553223198,0.8457498457670894,0.012548231452268967,0.8884189650717152,0.009797124294590384,0.8664877127484856,0.008165726838856675,0.9597998336011736,0.0036097402763467508,0.05792974852311847,0.0023776555901344294
Random Forest,0.9402561364768245,0.0029963069168332528,0.9155506132742033,0.008229966420995431,0.8476303000301992,0.010912993148933715,0.8802170823565096,0.006310190971049967,0.9595539261614947,0.003807606860453707,0.049425572317414616,0.0018607543770317145
Linear SVM,0.9380448584716287,0.0032947024785042146,0.9137891883222763,0.008503948890671556,0.8401919047574573,0.013118344912359216,0.8753576096881979,0.0071997969626029995,0.9593374774630335,0.0037776011682510275,0.04957090794650553,0.002204997426713331
Neural Net,0.9388077964902293,0.003273014038060263,0.9193080691390795,0.008912440851304482,0.8373945286596245,0.01371416023504522,0.8763384287131779,0.007219131787421426,0.9588860713385077,0.0034709715395374063,0.04911290765852005,0.002189582647633607
XGBoost,0.9397260532206616,0.00353686695178037,0.9135935104691465,0.009605254886887257,0.8475811096478529,0.011488959744902104,0.8792794733396643,0.007278867656834436,0.9586552963772154,0.004399254824126313,0.0491337220004387,0.0026074278533397824
AdaBoost,0.9384199281443533,0.0029425902086865573,0.9139708940585202,0.008350957414213626,0.841590219208533,0.011804366200261025,0.8762091420775033,0.006334446721552689,0.9582950205107443,0.003622483155152452,0.14413003074371686,0.003367885231523849
QDA,0.9275185893203808,0.0033487203260182522,0.8707025492780626,0.009660605055045075,0.8459331695729465,0.010765587653151098,0.8580679898238369,0.0066263145792350205,0.9529334946997817,0.0037378218180851457,0.06592826083771199,0.003095504638511037
RBF SVM,0.9393767940661304,0.003171186998206402,0.93204955274229,0.007221293294154264,0.8262624960694395,0.012319559885197642,0.8759031527643983,0.0070800522395205265,0.9400327184312772,0.006910154377014095,0.05165633559955916,0.0023704746391962446
Nearest Neighbors,0.9318118126904572,0.0035653556704100726,0.9072728569179582,0.008769693383764826,0.8207201721040718,0.012473588710951706,0.861755051198081,0.007723367367610194,0.936835658360488,0.005102639802958083,0.059094766818165015,0.002490526590684624
Decision Tree,0.9000130243845654,0.005273957913882587,0.802043069724583,0.01268003370685796,0.8154284700234432,0.011754368632418993,0.8086142493099377,0.009790076144247244,0.8725048109279518,0.006713771515523207,0.09998697561543456,0.005273957913882578
Naive Bayes,0.35790753397531516,0.04860162453988749,0.2865272094251802,0.01667613765267234,0.9848724007708569,0.0055645542948623795,0.44360925524645944,0.019045924830969087,0.8001876100530484,0.05362998144774884,0.6352887682925814,0.05471647972216153
Dummy (prior),0.740980227053143,9.580195578937634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1919285353334399,4.618049737098006e-05
