Modelo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,Brier_mean,Brier_std
CatBoost,0.953575584378346,0.000419091231045146,0.7204761904761904,0.34590444724130853,0.012450191570881225,0.007824392238395626,0.024275300611467304,0.015002787640524247,0.6701879024353795,0.02018515520975579,0.043312040189717835,0.0003510913555541165
AdaBoost,0.9533169567162837,0.0002885590309245623,0.386,0.4689392284720911,0.0033160919540229884,0.003964598149918019,0.006546423065014335,0.007788596062867713,0.6563087684217054,0.01963286688648702,0.12286537498209565,0.00477657902190909
Balanced Random Forest,0.602069142511888,0.009410367791361663,0.07044347158458958,0.003977481352421698,0.6163199233716475,0.04349056955140346,0.12642580259086053,0.007253804871359514,0.6558049511430804,0.019462044799212257,0.23438853859163605,0.003100055178276547
Linear SVM,0.9533557372811096,0.00028385074529404354,0.32,0.46647615158762407,0.0027624521072796937,0.004365414914360918,0.005472099846079197,0.008633369707080462,0.6490839535599635,0.018577072811138993,0.04384038702918582,0.00028902028923680196
QDA,0.936234347801644,0.002629322335049002,0.1262737381366581,0.03802806332899776,0.06223754789272031,0.021245396943032395,0.08306411968276288,0.026992404666478766,0.6476847138869687,0.018333878314045166,0.06174671890650172,0.0025659398345382377
Logistic Regression,0.6530846286138121,0.009653405070448665,0.0741474441277385,0.00406365300145131,0.5590536398467433,0.03568072714056386,0.13091613602525373,0.007203478588516637,0.6473601694326863,0.017792656029123863,0.22151995210257983,0.003375219401384795
XGBoost,0.9528902242087613,0.0006424317073736329,0.4351758241758242,0.15008803108686125,0.02213793103448276,0.010006175336695313,0.04180718191331013,0.01827513836009383,0.6384460649477672,0.0216515954140946,0.04472016828240115,0.00040952652417861426
Calibrated Random Forest,0.9534721291336798,0.0002735950082585646,0.52,0.4995998398718719,0.004699233716475096,0.005423762421788348,0.009296839086973374,0.010682940247968524,0.6287911175266082,0.019099033889086674,0.04389359349744057,0.00023594141392723516
Neural Net,0.9534074795328862,0.0002928842776427096,0.3373333333333333,0.4314646889118248,0.006093869731800766,0.008843515288482512,0.011846911859298623,0.017031769635503204,0.6256770319070861,0.05305923629000845,0.044009613544612095,0.0005183546778145608
Random Forest,0.953304011748697,0.0005267659089563167,0.5494920634920635,0.22005838571091338,0.01991954022988506,0.00838044243736836,0.038181817181929124,0.01567118446751039,0.6241894685915654,0.020654055897385445,0.04461425720860604,0.00038184790482365886
RBF SVM,0.95351092641787,0.0002892272613534002,0.56,0.4963869458396342,0.005530651340996169,0.005530232284553941,0.010940420759706812,0.01091721564623332,0.5951750914636189,0.019253140105232554,0.04404951325283393,0.0004298965422824451
Nearest Neighbors,0.9526056940720032,0.000824223132762572,0.34608003108003105,0.1644940490198278,0.016329501915708814,0.011749984656516369,0.03093440730657951,0.021624744513982025,0.5468293856640644,0.01797318159599252,0.05095406735103203,0.0010069934406147308
Decision Tree,0.9060906636772443,0.002577631583075826,0.07861296724603528,0.013310119885453962,0.09432183908045977,0.01721535434726907,0.08569735681903035,0.014904299064673521,0.5201107822676545,0.008402254238003426,0.09390933632275562,0.002577631583075832
Naive Bayes,0.061942309416492106,0.006066096696736391,0.0467297990323782,0.00044129954854283825,0.9828659003831417,0.014245277453012427,0.08921752227300446,0.0008544904477602194,0.5020245781352635,0.006100741789671426,0.9379194811910828,0.0061082226142117535
Dummy (prior),0.9532523029356487,0.0001560130847676926,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.04456236357429193,0.00014142103993065023
