Modelo,Brier_mean,Brier_std
CatBoost,0.03797991715705601,0.0033461897995241178
XGBoost,0.03888465961696466,0.0034170078244264773
Calibrated Random Forest,0.039276486692988485,0.003301809171533917
Neural Net,0.040225360927576545,0.0035033647445797435
Random Forest,0.040477817803656564,0.00306601852959458
Linear SVM,0.04051187266154194,0.0034189931450015723
RBF SVM,0.04239445242304996,0.003680760880253334
Logistic Regression,0.04374876676456557,0.002992857548814458
Balanced Random Forest,0.047180105896898784,0.002773034336057318
Nearest Neighbors,0.05153961124552783,0.0035000511333161564
QDA,0.05738334853085572,0.0040661705212139245
Decision Tree,0.07843003917973963,0.004637234550845142
AdaBoost,0.1373062494220077,0.003244540614298427
Dummy (prior),0.2239127194933498,1.4135175684730772e-05
Naive Bayes,0.3513438567653618,0.0540131437097545
