Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Dummy (prior),0,0,0,0.6360698125404007,0.0,0.0,0.0,0.5,0.23148504840639308
Dummy (prior),1,0,1,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),2,0,2,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),3,0,3,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),4,0,4,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),5,1,0,0.6360698125404007,0.0,0.0,0.0,0.5,0.23148504840639306
Dummy (prior),6,1,1,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),7,1,2,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),8,1,3,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),9,1,4,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),10,2,0,0.6360698125404007,0.0,0.0,0.0,0.5,0.23148504840639306
Dummy (prior),11,2,1,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),12,2,2,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),13,2,3,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),14,2,4,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),15,3,0,0.6360698125404007,0.0,0.0,0.0,0.5,0.23148504840639306
Dummy (prior),16,3,1,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),17,3,2,0.6362754607177498,0.0,0.0,0.0,0.5,0.2314290014506452
Dummy (prior),18,3,3,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
Dummy (prior),19,3,4,0.6362754607177498,0.0,0.0,0.0,0.5,0.23142900145064527
